dataset,metric,delta,relative_delta_pct,ci_low,ci_high
Industry,CVaR95 loss,-0.007470057011522048,-0.5036793138194468,-0.009628014491860102,-0.00540184351610162
Industry,Crowding,-0.04652966635964912,-2.0339190735445314,-0.05104309364692982,-0.0423712433366228
Industry,Co-crash,-0.002298245614035088,-2.128869748903657,-0.0025701754385964912,-0.00206140350877193
ETF,CVaR95 loss,-0.007300597713107154,-1.122984238216962,-0.0078659291284812,-0.006625925645038675
ETF,Crowding,-0.012025984428571418,-1.2066059233175785,-0.015376509632792199,-0.00901568528571427
ETF,Co-crash,-0.0011168831168831166,-0.6359065365240338,-0.0019740259740259735,-0.0005194805194805195
