dataset,short_method,display_method,crowding_mean,CVaR95_loss_mean,crowding_std,CVaR95_loss_std,order
Industry,RawNode,No-graph neural baseline,2.287692761421204,2.355885807979337,1.774486768667908e-05,0.0376147165551019,0
Industry,GS-NoPenalty,Feature-only contract,2.287685227394104,2.354633451635491,8.541798269024262e-06,0.0377968224093299,1
Industry,GraphSignal-ICL,Graph-penalty contract,2.2411555528640745,2.3450357632127616,0.0074664939759085,0.0371078286141497,2
Industry,RandomSignal-ICL,Randomized-score contract,2.260157251358032,2.3426216306494334,0.0048490556511891,0.0378008620226952,3
ETF,RawNode,No-graph neural baseline,0.9966785669326782,0.869650974916053,1.0640908438830143e-06,0.0442896595038087,0
ETF,GS-NoPenalty,Feature-only contract,0.9966787040233612,0.8696912238017266,5.566292368675101e-07,0.0442536318361971,1
ETF,GraphSignal-ICL,Graph-penalty contract,0.984652704000473,0.8605304467863369,0.0053307413857858,0.0441513706334428,2
ETF,RandomSignal-ICL,Randomized-score contract,0.9867708444595336,0.8520331193900479,0.0030222402037906,0.044825217722822,3
