dataset,comparison_type,comparison,metric,mean_treatment,mean_baseline,delta,delta_pct,ci_low,ci_high,p_sign,wilcoxon_p,sign_test_p,n_positive,n_negative,n_zero,n_seeds,direction,claim_support,bh_p,bh_reject_05
industry,learned_signal_vs_random_signal,GraphSignal-ICL minus RandomSignal-ICL,policy_objective,-1.7793378712323,-1.7755490954155053,-0.0037887758167946426,-0.0021338614778803836,-0.005151809558308204,-0.0026490840009086164,0.0,0.001953125,0.001953125,0,10,0,10,higher_is_better,supports_baseline,0.0029296875,True
industry,learned_signal_vs_random_signal,GraphSignal-ICL minus RandomSignal-ICL,CVaR95_loss,2.3450357632127616,2.342621630649433,0.002414132563328719,0.0010305260276532284,0.0007009787364306008,0.004527571628264861,0.0028,0.02734375,0.109375,8,2,0,10,lower_is_better,supports_baseline,0.03433866279069767,True
industry,learned_signal_vs_random_signal,GraphSignal-ICL minus RandomSignal-ICL,CVaR99_loss,4.460261881662452,4.458846924408623,0.0014149572538292078,0.00031733703305290216,-0.001438338378201562,0.005049893519152924,0.4126,0.6953125,0.75390625,6,4,0,10,lower_is_better,mixed_or_not_significant,0.7220552884615384,False
industry,learned_signal_vs_random_signal,GraphSignal-ICL minus RandomSignal-ICL,crowding,2.2411555528640745,2.260157251358032,-0.01900169849395734,-0.008407246213745358,-0.02229867100715633,-0.01585487902164437,0.0,0.001953125,0.001953125,0,10,0,10,lower_is_better,supports_treatment,0.0029296875,True
industry,learned_signal_vs_random_signal,GraphSignal-ICL minus RandomSignal-ICL,co_crash_freq,0.10565789416432377,0.10629824623465536,-0.0006403520703315901,-0.0060241075747569425,-0.0009385988302529131,-0.0003508806042373458,0.0,0.00390625,0.021484375,1,9,0,10,lower_is_better,supports_treatment,0.0052734375,True
industry,learned_signal_vs_random_signal,GraphSignal-ICL minus RandomSignal-ICL,mean_payoff,0.0618862390518188,0.06649605184793468,-0.004609812796115878,-0.0693246090247346,-0.005143802408128986,-0.004091709246858979,0.0,0.001953125,0.001953125,0,10,0,10,higher_is_better,supports_baseline,0.0029296875,True
industry,learned_signal_vs_random_signal,GraphSignal-ICL minus RandomSignal-ICL,mean_effort,0.04011312164366241,0.04005360305309291,5.951859056948852e-05,0.0014859734463615645,2.660699188707821e-05,9.576793760060111e-05,0.0,0.013671875,0.109375,8,2,0,10,higher_is_better,supports_treatment,0.017578125,True
industry,learned_signal_vs_random_signal,GraphSignal-ICL minus RandomSignal-ICL,mean_systematic_exposure,0.986140912771225,0.989507132768631,-0.0033662199974060503,-0.0034019158487357225,-0.004123118221759808,-0.0026654930412769234,0.0,0.001953125,0.001953125,0,10,0,10,lower_is_better,supports_treatment,0.0029296875,True
etf,placement_vs_feature_only,ETF_GraphSignal-ICL minus ETF_GraphSignal-ICL-NoPenalty,principal_CE,-0.5836698191295682,-0.588232660540452,0.004562841410883789,0.007756865126604529,0.003096602730456081,0.005837276869110859,0.0,0.001953125,0.001953125,10,0,0,10,higher_is_better,supports_treatment,0.0029296875,True
etf,placement_vs_feature_only,ETF_GraphSignal-ICL minus ETF_GraphSignal-ICL-NoPenalty,policy_objective,-0.6821350895296154,-0.687900530942788,0.0057654414131726225,0.00838121378575262,0.004597011165724217,0.0067728066454772065,0.0,0.001953125,0.001953125,10,0,0,10,higher_is_better,supports_treatment,0.0029296875,True
etf,placement_vs_feature_only,ETF_GraphSignal-ICL minus ETF_GraphSignal-ICL-NoPenalty,CVaR95_loss,0.8605304467863369,0.8696912238017266,-0.009160777015389577,-0.010533367205126046,-0.010542336476127144,-0.007630815845697064,0.0,0.001953125,0.001953125,0,10,0,10,lower_is_better,supports_treatment,0.0029296875,True
etf,placement_vs_feature_only,ETF_GraphSignal-ICL minus ETF_GraphSignal-ICL-NoPenalty,CVaR99_loss,1.6673836772258466,1.6795302018141136,-0.012146524588266972,-0.0072320965560130415,-0.014895294041205702,-0.009777290408427935,0.0,0.001953125,0.001953125,0,10,0,10,lower_is_better,supports_treatment,0.0029296875,True
