dataset,metric,placement_delta,quality_delta
Industry,CVaR95 loss,-0.007470057011522048,0.0077494960692193774
Industry,Crowding,-0.04652966635964912,-0.019001637850877197
Industry,Co-crash,-0.002298245614035088,-0.0006403508771929826
ETF,CVaR95 loss,-0.007300597713107154,0.007537998755772912
ETF,Crowding,-0.012025984428571418,-0.0021181031428571403
ETF,Co-crash,-0.0011168831168831166,0.00041558441558441566
